Taxon,Authority,Pathway,References,dC13,Genus,Species,Subspecies,Infradel
Carex simensis,A. Rich.,C3,Hesla et al. (1982),,Carex,simensis,,
Carex sp.,,C4+,Smith and Epstein (1971),,Carex,sp.,,
Carex sp.,,C3,Troughton et al. (1974),,Carex,sp.,,
Carex sp.,,C3,Boutton et al. (1980),,Carex,sp.,,
Carex spicatopaniculata,C. B. Clarke,C3,Bruhl and Wilson (2007),-27.72,Carex,spicatopaniculata,,
Carex stenophylla,Wahlenb.,C3,Williams and Monson (1981),,Carex,stenophylla,,
Carex stricta,Lam.,C3,Bender (1971) Standley (1987a),,Carex,stricta,,
Carex strigosa,Huds.,C3,Bruhl and Wilson (2007),-30.1,Carex,strigosa,,
Carex subinflata,Nelmes,C3,Bruhl and Wilson (2007),-25.18,Carex,subinflata,,
Carex torta,Boott,C3,Standley (1987a) Standley (1990),,Carex,torta,,
Carex vallis-rosetto,K. Schum.,C3,Hesla et al. (1982),,Carex,vallis-rosetto,,
Carex verticillata,Zoll. and Moritzi,C3,Hofstra et al. (1972),,Carex,verticillata,,
Carex vesicaria,L.,C3,Shepherd (1976),,Carex,vesicaria,,
Carpha alpina,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),-26.6,Carpha,alpina,,
Carpha nivicola,F. Muell.,C3,Bruhl and Wilson (2007),,Carpha,nivicola,,
Caustis blakei,Kük.,C3,Takeda et al. (1985),,Caustis,blakei,,
Caustis dioica,R. Br.,C3,Takeda et al. (1985),,Caustis,dioica,,
Caustis flexuosa,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Caustis,flexuosa,,
Caustis pentandra,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),-30.7,Caustis,pentandra,,
Caustis recurvata,Spreng.,C3,Takeda et al. (1985),,Caustis,recurvata,,
Cephalocarpus rigidus,Gilly,C3,Bruhl and Wilson (2007),-27.7,Cephalocarpus,rigidus,,
Cephalocarpus australis,K. L. Wilson,C3,Bruhl and Wilson (2007),,Cephalocarpus,australis,,
