Taxon,Authority,Pathway,References,dC13,Genus,Species,Subspecies,Infradel
Rhynchospora grayi,Kunth,C3,Ueno and Koyama (1987),,Rhynchospora,grayi,,
Rhynchospora grisebachii,Boeck. ex Urb.,C3,Ueno and Koyama (1987),,Rhynchospora,grisebachii,,
Rhynchospora hassleri,C. B. Clarke,C3,Ueno and Koyama (1987),,Rhynchospora,hassleri,,
Rhynchospora heterocaulis,C. B. Clarke,C4,Ueno and Koyama (1987),,Rhynchospora,heterocaulis,,
Rhynchospora heterochaeta,S. T. Blake,C4,Takeda et al. (1980) Takeda et al. (1985) Ueno and Koyama (1987) Bruhl and Wilson (2007),,Rhynchospora,heterochaeta,,
Rhynchospora hieronymii,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,hieronymii,,
Rhynchospora hirsuta,Vahl,C3,Ueno and Koyama (1987),,Rhynchospora,hirsuta,,
Rhynchospora hirta,(Nees) Boeck.,C4,Ueno and Koyama (1987),,Rhynchospora,hirta,,
Rhynchospora hispidula,(Vahl) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,hispidula,,
Rhynchospora holoschoenoides,(Rich.) Herter,C3,Gilliland and Gordon-Gray (1978) Takeda et al. (1980),,Rhynchospora,holoschoenoides,,
Rhynchospora inexpansa,(Michx.) Vahl,C3,Ueno and Koyama (1987),,Rhynchospora,inexpansa,,
Rhynchospora joveroensis,Britton,C3,Ueno and Koyama (1987),,Rhynchospora,joveroensis,,
Rhynchospora junciformis,(Kunth) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,junciformis,,
Rhynchospora knieskernii,J. Carey,C3,Ueno and Koyama (1987),,Rhynchospora,knieskernii,,
Rhynchospora kunthii,Nees ex Kunth,C3,Ueno and Koyama (1987),,Rhynchospora,kunthii,,
Rhynchospora lapensis,C. B. Clarke,C3,Ueno and Koyama (1987),,Rhynchospora,lapensis,,
Rhynchospora leae,C. B. Clarke,C4,Takeda et al. (1980) Takeda et al. (1985) Ueno and Koyama (1987),,Rhynchospora,leae,,
Rhynchospora lechleri,Steud.,C3,Ueno and Koyama (1987),,Rhynchospora,lechleri,,
Rhynchospora leptorrhyncha,C. Wright,C3,Ueno and Koyama (1987),,Rhynchospora,leptorrhyncha,,
Rhynchospora lindeniana,Griseb.,C3,Ueno and Koyama (1987),,Rhynchospora,lindeniana,,
Rhynchospora longibracteata,Rottb.,C3,Ueno and Koyama (1987) Bruhl and Wilson (2007),-24.0,Rhynchospora,longibracteata,,
Rhynchospora longiflora,C. Presl,C3,Ueno and Koyama (1987),,Rhynchospora,longiflora,,
Rhynchospora longisetis,R. Br.,C4,Takeda et al. (1980) Takeda et al. (1985),,Rhynchospora,longisetis,,
Rhynchospora luzuliformis,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,luzuliformis,,
Rhynchospora macrochaeta,Steud.,C3,Ueno and Koyama (1987),,Rhynchospora,macrochaeta,,
Rhynchospora malasica,C. B. Clarke,C3,Takeda et al. (1980) Ueno and Koyama (1987),,Rhynchospora,malasica,,
Rhynchospora marisculus,Nees,C3,Ueno and Koyama (1987),,Rhynchospora,marisculus,,
Rhynchospora megalocarpa,A. Gray,C3,Ueno and Koyama (1987),,Rhynchospora,megalocarpa,,
Rhynchospora mexicana,(Liebm.) Steud.,C4,Ueno and Koyama (1987),,Rhynchospora,mexicana,,
Rhynchospora micrantha,Vahl,C3,Ueno and Koyama (1987),,Rhynchospora,micrantha,,
Rhynchospora microcarpa,Baldwin ex A. Gray,C3,Ueno and Koyama (1987),,Rhynchospora,microcarpa,,
Rhynchospora miliacea,(Lam.) A. Gray,C3,Ueno and Koyama (1987),,Rhynchospora,miliacea,,
Rhynchospora mixta,Britton,C3,Ueno and Koyama (1987),,Rhynchospora,mixta,,
Rhynchospora nardifolia,(Kunth) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,nardifolia,,
Rhynchospora nervosa,(Vahl) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,nervosa,,
Rhynchospora nipensis,Britton,C3,Ueno and Koyama (1987),,Rhynchospora,nipensis,,
Rhynchospora nitens,(Vahl) A. Gray,C3,Ueno and Koyama (1987),,Rhynchospora,nitens,,
Rhynchospora nivea,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,nivea,,
Rhynchospora odorata,C. Wright ex Griseb.,C3,Ueno and Koyama (1987),,Rhynchospora,odorata,,
Rhynchospora oligantha,A. Gray,C3,Ueno and Koyama (1987),,Rhynchospora,oligantha,,
Rhynchospora organensis,C. B. Clarke,C3,Ueno and Koyama (1987),,Rhynchospora,organensis,,
Rhynchospora patuligluma,C. B. Clarke ex Lindm.,C3,Ueno and Koyama (1987),,Rhynchospora,patuligluma,,
Rhynchospora paraensis,Schrad. ex Kunth,C3,Ueno and Koyama (1987),,Rhynchospora,paraensis,,
Rhynchospora perrieri,Cherm.,C3,Gilliland and Gordon-Gray (1978) Takeda et al. (1980) Hesla et al. (1982) Ueno and Koyama (1987),,Rhynchospora,perrieri,,
Rhynchospora pilosa,(Kunth) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,pilosa,,
Rhynchospora plumosa,Elliott,C3,Ueno and Koyama (1987),,Rhynchospora,plumosa,,
Rhynchospora polyantha,Steud.,C3,Ueno and Koyama (1987),,Rhynchospora,polyantha,,
Rhynchospora polyphylla,Vahl,C3,Ueno and Koyama (1987),,Rhynchospora,polyphylla,,
Rhynchospora praecincta,Maury,C3,Ueno and Koyama (1987),,Rhynchospora,praecincta,,
Rhynchospora pruinosa,Griseb.,C3,Ueno and Koyama (1987),,Rhynchospora,pruinosa,,
Rhynchospora pterochaeta,F. Muell.,C4,Takeda et al. (1980) Takeda et al. (1985) Ueno and Koyama (1987) Bruhl and Wilson (2007),,Rhynchospora,pterochaeta,,
Rhynchospora pubera,(Vahl) Boeck.,C3,Thomas (1984) Ueno and Koyama (1987),,Rhynchospora,pubera,,
Rhynchospora punctata,Elliott,C3,Ueno and Koyama (1987),,Rhynchospora,punctata,,
Rhynchospora pusilla,Chapm. ex M. A. Curtis,C3,Ueno and Koyama (1987),,Rhynchospora,pusilla,,
Rhynchospora racemosa,C. Wright,C3,Ueno and Koyama (1987),,Rhynchospora,racemosa,,
Rhynchospora radicans,(Schlecht. and Cham.) H. Pfeiff.,C3,Ueno and Koyama (1987),,Rhynchospora,radicans,,
Rhynchospora radicans subsp. microcephala,(Bertero ex Spreng.) W. W. Thomas,C3,Thomas (1984) Ueno and Koyama (1987),,Rhynchospora,radicans,microcephala,subsp.
Rhynchospora rariflora,(Michx.) Elliott,C3,Ueno and Koyama (1987),,Rhynchospora,rariflora,,
Rhynchospora recurvata,(Nees) Steud.,C3,Ueno and Koyama (1987),,Rhynchospora,recurvata,,
Rhynchospora reptans,(Rich.) Boeck.,C3,Thomas (1984) Ueno and Koyama (1987) Bruhl and Wilson (2007),-28.5,Rhynchospora,reptans,,
Rhynchospora ridleyi,C. B. Clarke,C3,Ueno and Koyama (1987),,Rhynchospora,ridleyi,,
Rhynchospora robusta,(Kunth) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,robusta,,
Rhynchospora roraimae,Kük.,C3,Ueno and Koyama (1987),,Rhynchospora,roraimae,,
Rhynchospora rubra subsp. rubra,(Lour.) Makino,C4,Govindarajalu (1975a) Takeda et al. (1980) Takeda et al. (1980) Bruhl et al. (1987) Ueno et al. (1986) Ueno et al. (1988b) Bruhl and Perry (1995) Soros and Dengler (2001) Bruhl and Wilson (2007),,Rhynchospora,rubra,rubra,subsp.
Rhynchospora rubra subsp. africana,(Lour.) Makino J. Raynal,C4,Takeda et al. (1980) Bruhl and Wilson (2007),-10.21,Rhynchospora,rubra,africana,subsp.
Rhynchospora rufa,(Nees) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,rufa,,
Rhynchospora rugosa,(Vahl) Gale,C3,Takeda et al. (1980),,Rhynchospora,rugosa,,
Rhynchospora schiedeana,(Schlecht.) Kunth,C3,Ueno and Koyama (1987),,Rhynchospora,schiedeana,,
Rhynchospora schomburgkiana,(Boeck.) Koyama,C3,Ueno and Koyama (1987) Bruhl and Wilson (2007),,Rhynchospora,schomburgkiana,,
Rhynchospora scirpoides,(Torr.) Griseb.,C3,Ueno and Koyama (1987),,Rhynchospora,scirpoides,,
Rhynchospora sclerioides,Hook. and Arn.,C3,Ueno and Koyama (1987),,Rhynchospora,sclerioides,,
Rhynchospora scutellata,Griseb.,C3,Ueno and Koyama (1987) Bruhl and Wilson (2007),,Rhynchospora,scutellata,,
Rhynchospora seslerioides,Griseb.,C3,Ueno and Koyama (1987),,Rhynchospora,seslerioides,,
Rhynchospora setigera,(Kunth) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,setigera,,
Rhynchospora shaferi,Britton,C3,Ueno and Koyama (1987),,Rhynchospora,shaferi,,
Rhynchospora siguaneana,Britton,C3,Ueno and Koyama (1987),,Rhynchospora,siguaneana,,
Rhynchospora simplex,(Kük.) Kük.,C3,Ueno and Koyama (1987),,Rhynchospora,simplex,,
Rhynchospora solitaria,R. M. Harper,C3,Ueno and Koyama (1987),,Rhynchospora,solitaria,,
Rhynchospora sp.,,C3,Bruhl and Wilson (2007),-25.0 -25.1,Rhynchospora,sp.,,
Rhynchospora sp. A,,C4,Ueno and Koyama (1987),,Rhynchospora,sp. A,,
Rhynchospora sp. B,,C3,Bruhl and Wilson (2007),,Rhynchospora,sp. B,,
Rhynchospora sp. C,,C4,Bruhl and Wilson (2007),,Rhynchospora,sp. C,,
Rhynchospora splendens,Lindm.,C3,Ueno and Koyama (1987),,Rhynchospora,splendens,,
Rhynchospora stenocarpa,Kunth,C3,Ueno and Koyama (1987),,Rhynchospora,stenocarpa,,
Rhynchospora stenophylla,Chapm.,C3,Ueno and Koyama (1987),,Rhynchospora,stenophylla,,
Rhynchospora subimberbis,Griseb.,C4,Ueno and Koyama (1987),,Rhynchospora,subimberbis,,
Rhynchospora subplumosa,C. B. Clarke,C4,Ueno and Koyama (1987),,Rhynchospora,subplumosa,,
Rhynchospora subquadrata,Cherm.,C3,Ueno and Koyama (1987),,Rhynchospora,subquadrata,,
Rhynchospora subtenuifolia,Kük.,C4,Takeda et al. (1980) Bruhl et al. (1987) Ueno and Koyama (1987) Takeda et al. (1985) Bruhl and Wilson (2007),,Rhynchospora,subtenuifolia,,
Rhynchospora subtilis,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,subtilis,,
Rhynchospora tenella,(Nees) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,tenella,,
Rhynchospora tenerrima subsp. tenerima,Nees ex Spreng.,C3,Ueno and Koyama (1987),,Rhynchospora,tenerrima,tenerima,subsp.
Rhynchospora tenuifolia,Griseb.,C3,Ueno and Koyama (1987),,Rhynchospora,tenuifolia,,
Rhynchospora tenuis,Link,C3,Ueno and Koyama (1987),,Rhynchospora,tenuis,,
Rhynchospora terminalis,(Nees) Steud.,C4,Ueno and Koyama (1987),,Rhynchospora,terminalis,,
Rhynchospora torreyana,A. Gray,C3,Ueno and Koyama (1987),,Rhynchospora,torreyana,,
Rhynchospora trichochaeta,C. B. Clarke,C4,Ueno and Koyama (1987),,Rhynchospora,trichochaeta,,
Rhynchospora triflora,Vahl,C3,Ueno and Koyama (1987),,Rhynchospora,triflora,,
Rhynchospora trispicata,(Nees) Schrad. ex Steud.,C3,Ueno and Koyama (1987),,Rhynchospora,trispicata,,
Rhynchospora tuerckheimii,C. B. Clarke,C3,Ueno and Koyama (1987),,Rhynchospora,tuerckheimii,,
Rhynchospora umbraticola,Poepp. and Kunth,C3,Ueno and Koyama (1987),,Rhynchospora,umbraticola,,
Rhynchospora uniflora,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,uniflora,,
Rhynchospora velutina,(Kunth) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,velutina,,
Rhynchospora viridilutea,C. B. Clarke,C3,Ueno and Koyama (1987),,Rhynchospora,viridilutea,,
Rhynchospora vulcani,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,vulcani,,
Rhynchospora warmingii,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,warmingii,,
Rhynchospora wightiana,(Nees) Steud.,C4,Bruhl et al. (1987) Ueno and Koyama (1987) Bruhl and Wilson (2007),,Rhynchospora,wightiana,,
Rhynchospora wightiana,(Nees) Steud.,C3+,Govindarajalu (1975a),,Rhynchospora,wightiana,,
Rhynchospora wrightiana,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,wrightiana,,
Rhynchospora yasudana,Makino,C3,Ueno and Koyama (1987),,Rhynchospora,yasudana,,
Rhynchospora yasudana subsp. leviseta,Makino T. Koyama,C3,Takeda et al. (1980),,Rhynchospora,yasudana,leviseta,subsp.
Schoenoplectus americanus,(Pers.) Volkart ex Schinz and R. Keller,C3,Bender (1971),,Schoenoplectus,americanus,,
Schoenoplectus articulatus,(L.) Palla,C3,Govindarajalu (1976) Hesla et al. (1982) Takeda et al. (1985) Bruhl and Wilson (2007),-29.2,Schoenoplectus,articulatus,,
Schoenoplectus brachyceras,(Hochst. ex A. Rich.) K. Lye,C3,Govindarajalu (1976) Hesla et al. (1982) Bruhl and Wilson (2007),-23.71,Schoenoplectus,brachyceras,,
Schoenoplectus californicus,(C. A. Mey.) Sojak,C3,Bruhl and Wilson (2007),-25.4 -27.5,Schoenoplectus,californicus,,
Schoenoplectus confusus,(N. E. Br.) K. Lye,C3,Hesla et al. (1982),,Schoenoplectus,confusus,,
Schoenoplectus confusus subsp. confusus,(N. E. Br.) K. Lye N. E. Br.,C3,Bruhl and Wilson (2007),-24.11,Schoenoplectus,confusus,confusus,subsp.
Schoenoplectus corymbosus,(Roem. and Schult.) J. Raynal,C3,Bruhl and Wilson (2007),-27.5,Schoenoplectus,corymbosus,,
Schoenoplectus dissachanthus,(S. T. Blake) J. Raynal,C3,Takeda et al. (1985),,Schoenoplectus,dissachanthus,,
Schoenoplectus junceus,(Willd.) J. Raynal,C3,Hesla et al. (1982),,Schoenoplectus,junceus,,
Schoenoplectus juncoides,(Roxb.) Palla,C3,Govindarajalu (1976),,Schoenoplectus,juncoides,,
Schoenoplectus lacustris,(L.) Palla,C3,Troughton et al. (1974) Bruhl and Wilson (2007),,Schoenoplectus,lacustris,,
Schoenoplectus laevis,(S. T. Blake) J. Raynal,C3,Takeda et al. (1985),,Schoenoplectus,laevis,,
Schoenoplectus lateriflorus,(J. F. Gmel.) K. Lye,C3,Govindarajalu (1976) Takeda et al. (1985) Bruhl and Wilson (2007),,Schoenoplectus,lateriflorus,,
Schoenoplectus lateriflorus,(J. F. Gmel.) K. Lye,C4+,Hofstra et al. (1972),,Schoenoplectus,lateriflorus,,
Schoenoplectus lineolatus,(Franch. and Sav.) T. Koyama,C3,Lin et al. (1993),,Schoenoplectus,lineolatus,,
Schoenoplectus litoralis,(Schrad.) Palla,C3,Govindarajalu (1976) Hesla et al. (1982) Takeda et al. (1985) Bruhl et al. (1987) Bruhl and Wilson (2007),,Schoenoplectus,litoralis,,
Schoenoplectus mucronatus,(L.) Palla ex Kerner,C3,Govindarajalu (1976) Bruhl and Wilson (2007),-27.2,Schoenoplectus,mucronatus,,
Schoenoplectus muricinux,(C. B. Clarke) J. Raynal,C3,Bruhl and Wilson (2007),,Schoenoplectus,muricinux,,
Schoenoplectus paludicola,(Kunth) Palla,C3,Bruhl and Wilson (2007),,Schoenoplectus,paludicola,,
Schoenoplectus praelongatus,(Poir.) J. Raynal,C3,Bruhl and Wilson (2007),-23.99,Schoenoplectus,praelongatus,,
Schoenoplectus pulchellus,(Kunth) J. Raynal,C4+,Bruhl and Wilson (2007),-10.59,Schoenoplectus,pulchellus,,
Schoenoplectus pungens,(Vahl) Palla,C3,Takeda et al. (1985),,Schoenoplectus,pungens,,
Schoenoplectus purshianus,(Fernald) M. T. Strong,C3,Lin et al. (1993),,Schoenoplectus,purshianus,,
Schoenoplectus roylei,(Nees) Ovczinn and Czukav.,C3,Sabnis (1921) Govindarajalu (1976) Hesla et al. (1982),,Schoenoplectus,roylei,,
Schoenoplectus senegalensis,(Steud.) J. Raynal,C3,Govindarajalu (1976) Hesla et al. (1982) Bruhl and Wilson (2007),-27.5,Schoenoplectus,senegalensis,,
Schoenoplectus subulatus,(Vahl) K. Lye,C3,Bruhl and Wilson (2007),-27.2,Schoenoplectus,subulatus,,
Schoenoplectus supinus,(L.) Palla,C3,Bruhl and Wilson (2007),-27.9,Schoenoplectus,supinus,,
Schoenoplectus validus,(Vahl) A. Löve and D. Löve,C3,Bender (1971) Govindarajalu (1976) Bruhl and Wilson (2007),,Schoenoplectus,validus,,
Schoenoplectus wallichii,(Nees) T. Koyama,C3,Lin et al. (1993),,Schoenoplectus,wallichii,,
Schoenoxiphium lehmannii,(Nees) Steud.,C3,Bruhl and Wilson (2007),-30.6,Schoenoxiphium,lehmannii,,
Schoenoxiphium sparteum,(Wahlenb.) C. B. Clarke,C3,Bruhl and Wilson (2007),-25.4 -27.71,Schoenoxiphium,sparteum,,
Schoenus acuminatus,(R. Br.) Nees,C3,Bruhl and Wilson (2007),,Schoenus,acuminatus,,
Schoenus andrewsii,W. V. Fitzg.,C3,Bruhl and Wilson (2007),,Schoenus,andrewsii,,
Schoenus apogon,Roem. and Schult.,C3,Takeda et al. (1985) Ueno and Takeda (1992) Bruhl and Wilson (2007),,Schoenus,apogon,,
Schoenus armeria,Nees,C3,Bruhl and Wilson (2007),,Schoenus,armeria,,
Schoenus asperocarpus,F. Muell.,C3,Bruhl and Wilson (2007),,Schoenus,asperocarpus,,
Schoenus benthamii,F. Muell.,C3,Bruhl and Wilson (2007),,Schoenus,benthamii,,
Schoenus bifidus,(Nees) Boeck.,C3,Bruhl and Wilson (2007),,Schoenus,bifidus,,
Schoenus breviculmis,Benth.,C3,Takeda et al. (1985),,Schoenus,breviculmis,,
Schoenus breviculmis var. tepperi,Benth. (F. Muell.) Kuk.,C3,Bruhl and Wilson (2007),,Schoenus,breviculmis,tepperi,var.
Schoenus brevifolius,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),-28.6,Schoenus,brevifolius,,
Schoenus brevisetis,(R. Br.) Roem. and Schult.,C3,Bruhl and Wilson (2007),,Schoenus,brevisetis,,
Schoenus caespititius,W. V. Fitzg.,C3,Bruhl and Wilson (2007),,Schoenus,caespititius,,
Schoenus calostachyus,(R. Br.) Roem. and Schult.,C3,Takeda et al. (1985) Ueno and Takeda (1992) Bruhl and Wilson (2007),,Schoenus,calostachyus,,
Schoenus calyptratus,Kük.,C3,Bruhl and Wilson (2007),,Schoenus,calyptratus,,
Schoenus carsei,Cheeseman,C3,Bruhl and Wilson (2007),,Schoenus,carsei,,
Schoenus curvifolius,(R. Br.) Roem. and Schult.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Schoenus,curvifolius,,
Schoenus curvulus,F. Muell.,C3,Bruhl and Wilson (2007),,Schoenus,curvulus,,
Schoenus deformis,(R. Br.) Roem. and Schult.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Schoenus,deformis,,
Schoenus discifer,Tate,C3,Bruhl and Wilson (2007),,Schoenus,discifer,,
Schoenus efoliatus,F. Muell.,C3,Bruhl and Wilson (2007),,Schoenus,efoliatus,,
Schoenus ericetorum,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Schoenus,ericetorum,,
Schoenus evansianus,K. L. Wilson,C3,Bruhl and Wilson (2007),,Schoenus,evansianus,,
Schoenus falcatus,R. Br.,C3,Takeda et al. (1985) Ueno and Takeda (1992) Bruhl and Wilson (2007),,Schoenus,falcatus,,
Schoenus ferrugineus,L.,C3,Bruhl and Wilson (2007),,Schoenus,ferrugineus,,
Schoenus fluitans,Hook. f.,C3,Takeda et al. (1985),,Schoenus,fluitans,,
Schoenus grammatophyllus,F. Muell.,C3,Bruhl and Wilson (2007),,Schoenus,grammatophyllus,,
Schoenus grandiflorus,Nees ex Lehm.,C3,Bruhl and Wilson (2007),,Schoenus,grandiflorus,,
Schoenus hexandrus,F. Muell. and Tate,C3,Bruhl and Wilson (2007),,Schoenus,hexandrus,,
Schoenus imberbis,(R. Br.) Poir.,C3,Takeda et al. (1985),,Schoenus,imberbis,,
Schoenus insolitus,K. L. Wilson,C3,Bruhl and Wilson (2007),,Schoenus,insolitus,,
Schoenus juvenis,C. B. Clarke,C3,Bruhl and Wilson (2007),,Schoenus,juvenis,,
Schoenus kennyi,F. M. Bailey,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Schoenus,kennyi,,
Schoenus laevinux,(Kük.) Ohwi,C3,Bruhl and Wilson (2007),,Schoenus,laevinux,,
Schoenus lanatus,Labill.,C3,Bruhl and Wilson (2007),,Schoenus,lanatus,,
Schoenus latelaminatus,Kük.,C3,Bruhl and Wilson (2007),,Schoenus,latelaminatus,,
Schoenus latitans,S. T. Blake,C3,Bruhl and Wilson (2007),,Schoenus,latitans,,
Schoenus lepidosperma subsp. lepidosperma,(F. Muell.) K. L. Wilson,C3,Bruhl and Wilson (2007),,Schoenus,lepidosperma,lepidosperma,subsp.
Schoenus lepidosperma subsp. pachylepis,(F. Muell.) K. L. Wilson (S. T. Blake) K. L. Wilson,C3,Bruhl and Wilson (2007),,Schoenus,lepidosperma,pachylepis,subsp.
Schoenus maschalinus,Roem. and Schult.,C3,Bruhl and Wilson (2007),,Schoenus,maschalinus,,
Schoenus melanostachys,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Schoenus,melanostachys,,
Schoenus microcephalus,Kern,C3,Bruhl and Wilson (2007),,Schoenus,microcephalus,,
Schoenus minutulus,F. Muell.,C3,Bruhl and Wilson (2007),,Schoenus,minutulus,,
Schoenus moorei,Benth.,C3,Bruhl and Wilson (2007),,Schoenus,moorei,,
Schoenus multiglumis,Benth.,C3,Bruhl and Wilson (2007),,Schoenus,multiglumis,,
Schoenus neocaledonicus,C. B. Clarke,C3,Bruhl and Wilson (2007),,Schoenus,neocaledonicus,,
Schoenus nigricans,L.,C3,Mateu Andres (1991) Bruhl and Wilson (2007),,Schoenus,nigricans,,
Schoenus nitens,(R. Br.) Roem. and Schult.,C3,Takeda et al. (1985),,Schoenus,nitens,,
Schoenus obtusifolius,(Nees ex Lehm.) Boeck.,C3,Bruhl and Wilson (2007),,Schoenus,obtusifolius,,
Schoenus ornithopodioides,(Kük.) S. T. Blake,C3,Bruhl and Wilson (2007),,Schoenus,ornithopodioides,,
Schoenus paludosus,(R. Br.) Roem. and Schult.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Schoenus,paludosus,,
Schoenus pauciflorus,(Hook. f.) Hook. f.,C3,Bruhl and Wilson (2007),,Schoenus,pauciflorus,,
Schoenus pedicellatus,(R. Br.) Roem. and Schult.,C3,Bruhl and Wilson (2007),,Schoenus,pedicellatus,,
Schoenus pleiostemoneus,F. Muell.,C3,Bruhl and Wilson (2007),,Schoenus,pleiostemoneus,,
Schoenus punctatus,R. Br.,C3,Bruhl and Wilson (2007),,Schoenus,punctatus,,
Schoenus racemosus,J. Black,C3,Takeda et al. (1985),,Schoenus,racemosus,,
Schoenus rigens,S. T. Blake,C3,Bruhl and Wilson (2007),,Schoenus,rigens,,
Schoenus scabripes,Benth.,C3,Bruhl and Wilson (2007),,Schoenus,scabripes,,
Schoenus sculptus,(Nees) Boeck.,C3,Takeda et al. (1985),,Schoenus,sculptus,,
Schoenus sesquispiculus,C. B. Clarke,C3,Bruhl and Wilson (2007),,Schoenus,sesquispiculus,,
Schoenus sp. nov. A1,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,A1,nov.
Schoenus sp. nov. A2,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,A2,nov.
Schoenus sp. aff. brevifolius,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,brevifolius,aff.
Schoenus sp. aff. brevisetis,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,brevisetis,aff.
Schoenus sp. aff. elegans,S. T. Blake,C3,Bruhl and Wilson (2007),,Schoenus,sp.,elegans,aff.
Schoenus sp. aff. falcatus,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,falcatus,aff.
Schoenus sp. aff. laevigatus,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,laevigatus,aff.
Schoenus sp. aff. lanatus,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,lanatus,aff.
Schoenus sp. aff. pleiostemoneus,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,pleiostemoneus,aff.
Schoenus sp. aff. punctatus,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,punctatus,aff.
Schoenus sp. aff. sparteus,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,sparteus,aff.
Schoenus sp. aff. subbarbatus,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,subbarbatus,aff.
Schoenus sp. aff. subfascicularis,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,subfascicularis,aff.
Schoenus sp. aff. trachycarpus,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,trachycarpus,aff.
Schoenus sp. nov. ‘Grey Rhizome’,,C3,Bruhl and Wilson (2007),,Schoenus,sp. nov. ‘Grey Rhizome’,,
Schoenus sp. nov. ‘Murchison’,,C3,Bruhl and Wilson (2007),,Schoenus,sp.,‘Murchison’,nov.
Schoenus sparteus,R. Br.,C3,Hesla et al. (1982) Takeda et al. (1985) Bruhl and Wilson (2007),,Schoenus,sparteus,,
Schoenus subaphyllus,Kük.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Schoenus,subaphyllus,,
Schoenus subbarbatus,Kük.,C3,Bruhl and Wilson (2007),,Schoenus,subbarbatus,,
Schoenus subbulbosus,Benth.,C3,Bruhl and Wilson (2007),,Schoenus,subbulbosus,,
Schoenus subfascicularis,Kük.,C3,Bruhl and Wilson (2007),,Schoenus,subfascicularis,,
Schoenus subflavus,Kük.,C3,Bruhl and Wilson (2007),,Schoenus,subflavus,,
Schoenus sublaxus,Kük.,C3,Bruhl and Wilson (2007),,Schoenus,sublaxus,,
Schoenus submicrostachyus,Kük.,C3,Bruhl and Wilson (2007),,Schoenus,submicrostachyus,,
Schoenus tendo var. triander,(Hook. f.) Hook. Kuk.,C3,Bruhl and Wilson (2007),,Schoenus,tendo,triander,var.
Schoenus tesquorum,J. Black,C3,Bruhl and Wilson (2007),,Schoenus,tesquorum,,
Schoenus trachycarpus,F. Muell.,C3,Bruhl and Wilson (2007),,Schoenus,trachycarpus,,
Schoenus turbinatus,(R. Br.) Roem. and Schult.,C3,Bruhl and Wilson (2007),,Schoenus,turbinatus,,
Schoenus unispiculatus,F. Muell. ex Benth.,C3,Bruhl and Wilson (2007),,Schoenus,unispiculatus,,
Schoenus vaginatus,F. Muell. ex Benth.,C3,Bruhl and Wilson (2007),,Schoenus,vaginatus,,
Schoenus villosus,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Schoenus,villosus,,
Scirpodendron ghaeri,(Gaertn.) Merr.,C3,Koyama (1967) Takeda et al. (1985) Bruhl and Wilson (2007),-25.1 -25.6,Scirpodendron,ghaeri,,
Scirpoides holoschoenus,(L.) Sojak,C3,Mateu Andres (1991) Bruhl and Wilson (2007),-27.4,Scirpoides,holoschoenus,,
Scirpoides polystachyus,F. Muell.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Scirpoides,polystachyus,,
Scirpoides sylvaticus,L.,C3,Bruhl and Wilson (2007),-27.5,Scirpoides,sylvaticus,,
Scleria abortiva,Nees ex Kunth,C3,Chermezon (1926),,Scleria,abortiva,,
Scleria angusta,Nees ex Kunth,C3,Bruhl and Wilson (2007),-29.19,Scleria,angusta,,
