Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Subspecies,Pathway,BS_area_um2,FM_DM,FM_DM_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_abaxial_area_um2,mesophyll_abaxial_length_um,mesophyll_adaxial_area_um2,mesophyll_adaxial_length_um,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_cell_area_um2,Habit,dC13,tissue,long_name,CITEKEYS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,arbusculiformis,,C3+C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Oreosalsola,montana,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Oreosalsola,masenderanica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Oreosalsola,tournica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Turania,aperta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Turania,deserticola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Turania,arbuscula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Turania,richteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Turania,chivensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Traganum,nudatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Kali,tragus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Kali,paulsenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Kali,kali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Kali,griffithii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Sympegma,regelii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,genistoides,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,webbii,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Salsola,pachyphylla,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
